Beverage ID,Ingredient,Stage,Impact Category,Indicator,Unit,Monetary Value,Value,References
"Cappuccino, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0015202970461125,1.41199620773e-05,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (35); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Cappuccino, sans-lactose, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,2.90798081775e-05,"Road; transport, freight, light commercial vehicle (100); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Cappuccino, sans-lactose, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0015202970461125,1.41199620773e-05,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (35); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Chocolait, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,1.2677415606e-06,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Chocolait, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0001447901948678,1.344758293e-06,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Espresso Macchiato Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,7.923384754e-07,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Espresso Macchiato Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,9.04938717924e-05,8.404739331e-07,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Espresso Macchiato Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,7.923384754e-07,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Espresso Macchiato Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,9.04938717924e-05,8.404739331e-07,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Frappé Vanille, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,3.1693539017e-06,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Frappé Vanille, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0003619754871696,3.3618957327e-06,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (0)."
"Latte Macchiato Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,1.5054431033e-06,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Latte Macchiato Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0001719383564055,1.596900473e-06,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Latte Macchiato Vanille Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,2.0600800361e-06,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Latte Macchiato Vanille Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0002352840666602,2.1852322262e-06,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (0)."
"Latte Macchiato Vanille Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,2.0600800361e-06,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Latte Macchiato Vanille Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0002352840666602,2.1852322262e-06,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (0)."
"Latte Macchiato Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,1.5054431033e-06,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Latte Macchiato Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0001719383564055,1.596900473e-06,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Latte Macchiato, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,3.63497602219e-05,"Road; transport, freight, light commercial vehicle (100); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Latte Macchiato, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0019003713076407,1.76499525966e-05,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (35); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Latte Macchiato, sans-lactose, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,3.63497602219e-05,"Road; transport, freight, light commercial vehicle (100); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Latte Macchiato, sans-lactose, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0019003713076407,1.76499525966e-05,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (35); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Macchiato, Compass Machine",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,8.715723229e-07,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Macchiato, Compass Machine",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,9.95432589716e-05,9.245213264e-07,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Mocaccino Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,8.715723229e-07,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Mocaccino Blue Planet, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,9.95432589716e-05,9.245213264e-07,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Mocaccino Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,8.715723229e-07,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Mocaccino Via Verde, Dallmayr",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,9.95432589716e-05,9.245213264e-07,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Renversé, Compass Machine",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,8.715723229e-07,"Road; transport, freight, lorry 3.5-7.5 metric ton, EURO6 (125); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024; transport, freight, light commercial vehicle (35); Road waste-collection; municipal waste collection service by 21 metric ton lorry (0)."
"Renversé, Compass Machine",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,9.95432589716e-05,9.245213264e-07,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (50); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Renversé, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,3.63497602219e-05,"Road; transport, freight, light commercial vehicle (100); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Renversé, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0019003713076407,1.76499525966e-05,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (35); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
"Renversé, sans-lactose, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM10 eq,0.0,3.63497602219e-05,"Road; transport, freight, light commercial vehicle (100); World Bank, Inflation (annual %), 2024; No factor available; European Central Bank, Eurosystem, US dollar (USD), 2024."
"Renversé, sans-lactose, Le Klee",Cow milk,Transport,Environment,Fine particulate matter formation,kg PM2.5 eq,0.0019003713076407,1.76499525966e-05,"Road; transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, R134a refrigerant, cooling (35); World Bank, Inflation (annual %), 2024; CE-Delft, Environmental Prices Handbook (2017); European Central Bank, Eurosystem, US dollar (USD), 2024."
